Year,Total_Market_Size_Billion,Automation_Testing_Market_Billion,Software_QA_Services_Billion
2015,40.5,12.5,28.0
2016,42.8,13.8,29.0
2017,45.3,15.2,30.1
2018,48.1,16.8,31.3
2019,51.2,18.6,32.6
2020,54.3,20.5,33.8
2021,57.1,22.7,34.4
2022,60.2,25.43,34.9
2023,63.8,28.1,45.2
2024,103.68,17.71,50.0
2025,118.19,20.6,50.672
2026,132.5,24.3,56.4
2027,148.2,28.6,62.8
2028,165.8,33.5,69.9
2029,184.3,39.2,77.8
2030,204.7,45.8,86.5
2031,220.5,53.2,96.2
2032,243.78,63.05,107.248
2033,268.1,73.5,119.3
2034,294.2,85.2,132.7
2035,322.5,98.4,147.5
